Learning rate set to 0.04175
391:	learn: 12706.2503701	total: 650ms	remaining: 1.01s
392:	learn: 12686.8042151	total: 651ms	remaining: 1s
393:	learn: 12665.0591896	total: 652ms	remaining: 1s
394:	learn: 12640.2259842	total: 653ms	remaining: 1s
395:	learn: 12628.5332052	total: 655ms	remaining: 999ms
396:	learn: 12626.7813211	total: 656ms	remaining: 996ms
397:	learn: 12625.1120466	total: 657ms	remaining: 994ms
398:	learn: 12623.4442794	total: 658ms	remaining: 992ms
399:	learn: 12605.1522764	total: 660ms	remaining: 989ms
400:	learn: 12588.3468443	total: 661ms	remaining: 987ms
401:	learn: 12580.8477427	total: 662ms	remaining: 985ms
402:	learn: 12557.8000063	total: 663ms	remaining: 983ms
403:	learn: 12556.2445208	total: 664ms	remaining: 980ms
404:	learn: 12534.8865345	total: 666ms	remaining: 978ms
405:	learn: 12517.4753954	total: 667ms	remaining: 976ms
406:	learn: 12496.3239192	total: 668ms	remaining: 974ms
407:	learn: 12475.5049038	total: 670ms	remaining: 972ms
408:	learn: 12463.4544829	total: 671ms	remaining: 969ms
409:	learn: 12439.6044994	total: 672ms	remaining: 967ms
410:	learn: 12413.7833909	total: 673ms	remaining: 965ms
411:	learn: 12412.2250785	total: 675ms	remaining: 963ms
412:	learn: 12389.4843113	total: 676ms	remaining: 961ms
413:	learn: 12371.9538265	total: 677ms	remaining: 958ms
414:	learn: 12352.4179608	total: 678ms	remaining: 956ms
415:	learn: 12333.1881816	total: 680ms	remaining: 954ms
416:	learn: 12316.0621425	total: 681ms	remaining: 952ms
417:	learn: 12303.8932317	total: 682ms	remaining: 950ms
418:	learn: 12284.4339899	total: 683ms	remaining: 948ms
419:	learn: 12261.7799901	total: 685ms	remaining: 946ms
420:	learn: 12247.4449385	total: 686ms	remaining: 944ms
421:	learn: 12225.6253556	total: 687ms	remaining: 942ms
422:	learn: 12207.0822627	total: 689ms	remaining: 939ms
423:	learn: 12188.2215919	total: 690ms	remaining: 937ms
424:	learn: 12165.5300213	total: 691ms	remaining: 935ms
425:	learn: 12139.5948067	total: 693ms	remaining: 933ms
426:	learn: 12123.7583369	total: 694ms	remaining: 931ms
427:	learn: 12122.3112327	total: 695ms	remaining: 929ms
428:	learn: 12120.8994750	total: 696ms	remaining: 927ms
429:	learn: 12099.7274431	total: 698ms	remaining: 925ms
430:	learn: 12074.5620472	total: 699ms	remaining: 923ms
431:	learn: 12047.8525900	total: 700ms	remaining: 921ms
432:	learn: 12031.0324407	total: 702ms	remaining: 919ms
433:	learn: 12029.8873458	total: 703ms	remaining: 917ms
434:	learn: 12028.4816838	total: 704ms	remaining: 914ms
435:	learn: 12009.3785848	total: 705ms	remaining: 912ms
436:	learn: 11986.6629706	total: 707ms	remaining: 911ms
437:	learn: 11975.9768926	total: 708ms	remaining: 909ms
438:	learn: 11974.6644550	total: 710ms	remaining: 907ms
439:	learn: 11959.1269779	total: 711ms	remaining: 905ms
440:	learn: 11938.5312842	total: 712ms	remaining: 903ms
441:	learn: 11920.4705843	total: 714ms	remaining: 901ms
442:	learn: 11919.1541636	total: 715ms	remaining: 899ms
443:	learn: 11905.3219869	total: 716ms	remaining: 897ms
444:	learn: 11886.5585358	total: 717ms	remaining: 895ms
445:	learn: 11885.2645048	total: 718ms	remaining: 892ms
446:	learn: 11869.5958886	total: 720ms	remaining: 890ms
447:	learn: 11841.7383069	total: 721ms	remaining: 888ms
448:	learn: 11832.1954107	total: 722ms	remaining: 886ms
449:	learn: 11813.9434128	total: 724ms	remaining: 884ms
450:	learn: 11808.3215353	total: 725ms	remaining: 882ms
